 year month  day  day numero  hours  utc_msecs  time  
        2010           1           1           1  3.48427780E-02      125434   1104537725.4340007     
        2010           1           1           1  3.49816680E-02      125934   1104537725.9340048     
        2010           1           1           1  3.51205580E-02      126434   1104537726.4340088     
        2010           1           1           1  3.52594443E-02      126934   1104537726.9339993     
        2010           1           1           1  3.53983343E-02      127434   1104537727.4340034     
        2010           1           1           1  3.55372243E-02      127934   1104537727.9340074     
        2010           1           1           1  3.56761143E-02      128434   1104537728.4340115     
        2010           1           1           1  3.58150005E-02      128934   1104537728.9340019     
        2010           1           1           1  3.59538905E-02      129434   1104537729.4340060     
        2010           1           1           1  3.60927805E-02      129934   1104537729.9340098     
        2010           1           1           1  3.62316668E-02      130434   1104537730.4340005     
        2010           1           1           1  3.63705568E-02      130934   1104537730.9340045     
        2010           1           1           1  3.65094468E-02      131434   1104537731.4340086     
        2010           1           1           1  3.66483331E-02      131934   1104537731.9339991     
        2010           1           1           1  3.67872231E-02      132434   1104537732.4340031     
        2010           1           1           1  3.69261131E-02      132934   1104537732.9340072     
        2010           1           1           1  3.70650031E-02      133434   1104537733.4340110     
        2010           1           1           1  3.72038893E-02      133934   1104537733.9340017     
        2010           1           1           1  3.73427793E-02      134434   1104537734.4340055     
        2010           1           1           1  3.74816693E-02      134934   1104537734.9340096     
        2010           1           1           1  3.76205556E-02      135434   1104537735.4340003     
        2010           1           1           1  3.77594456E-02      135934   1104537735.9340043     
        2010           1           1           1  3.78983356E-02      136434   1104537736.4340081     
        2010           1           1           1  3.80372256E-02      136934   1104537736.9340122     
        2010           1           1           1  3.81761119E-02      137434   1104537737.4340029     
        2010           1           1           1  3.83150019E-02      137934   1104537737.9340067     
        2010           1           1           1  3.84538919E-02      138434   1104537738.4340107     
        2010           1           1           1  3.85927781E-02      138934   1104537738.9340012     
        2010           1           1           1  3.87316681E-02      139434   1104537739.4340053     
        2010           1           1           1  3.88705581E-02      139934   1104537739.9340093     
        2010           1           1           1  3.90094444E-02      140434   1104537740.4340000     
        2010           1           1           1  3.91483344E-02      140934   1104537740.9340038     
        2010           1           1           1  3.92872244E-02      141434   1104537741.4340079     
        2010           1           1           1  3.94261144E-02      141934   1104537741.9340119     
